feature,human-cont,human-full,create,continue,explain
flesch_reading_ease,40.58535946993883,40.18268006366684,32.97154658691429,35.90057767769023,35.99084156047468
flesch_kincaid_grade,10.547635300460678,10.608072989612378,11.947999067349778,12.288915870811525,12.451002182356202
smog,11.846406609892494,11.894719596227578,12.900019861821997,14.537749821787031,13.94268489909823
gunning_fog,12.693140328222952,12.77832386520538,14.176845305818588,15.858625641633349,15.409284836429435
automated_readability_index,10.295142849457461,10.357516437572942,11.733912628992632,12.445339956087171,13.011700520738533
coleman_liau_index,13.89430744500865,13.967967780844802,15.065900867426052,14.488613427794828,14.80632450190404
lix,39.62108418843279,40.14619382154473,44.83765707807048,46.048020139282514,46.78279173419408
rix,3.3047621077416474,3.3645906174556623,4.255403372794677,4.903296703296704,5.061461988304093
token_length_mean,5.475480855654732,5.486898161929098,5.636352881777419,5.467144029935371,5.512748524411528
token_length_median,4.6,4.6,4.8,4.4,4.6
token_length_std,3.132202280701014,3.1331540527004083,3.245016932521492,3.0599491364250633,3.1064791784316186
sentence_length_mean,11.871256038647342,11.888452189773787,13.23338111164198,16.25018315018315,16.953309941520466
sentence_length_median,11.6,11.6,12.8,15.7,16.7
sentence_length_std,6.103515138555883,6.050405472627073,5.831624122806725,4.060072590949973,5.310640799300556
syllables_per_token_mean,1.822698766558323,1.8272522572542882,1.8963542740516446,1.8255376645966184,1.8160348563697641
syllables_per_token_median,1.6,1.6,1.8,1.4,1.4
syllables_per_token_std,1.136057297818974,1.1344995422973987,1.1832334113101537,1.0504770653812694,1.0734145588974815
n_tokens,556.8,628.0,439.2,115.6,258.6
n_unique_tokens,301.6,329.4,244.8,82.4,152.6
proportion_unique_tokens,0.5451938542375772,0.5257940936644055,0.5659245077232159,0.7619952513508743,0.5975274795345498
n_characters,3132.2,3541.6,2517.2,663.2,1455.6
n_sentences,47.2,53.0,34.6,7.0,16.0
pos_prop_NOUN,0.17471324208607295,0.1793238626451365,0.17853655481458422,0.16880239794650617,0.1716356553749398
pos_prop_VERB,0.0964010590369871,0.0951719701695675,0.09897554192194928,0.10989218019713069,0.11079308107223511
pos_prop_DET,0.11890144603681012,0.11966880157485263,0.12448770453220766,0.13005904613798686,0.1313520868737829
pos_prop_PUNCT,0.14056654309841285,0.1392311946749099,0.12839939896686794,0.13393110250885715,0.11126028208942344
pos_prop_CCONJ,0.017476295913689825,0.01739483944839207,0.028991949337032658,0.03624872355887228,0.03135745016121668
pos_prop_PRON,0.0743827478717929,0.0716167741870555,0.06453277329288841,0.07993465061530829,0.06474088705899723
pos_prop_ADP,0.10140275632439585,0.10452513858935246,0.09724180508071602,0.06436791503731056,0.10633529615275919
pos_prop_PROPN,0.04611567225413353,0.04898959678382604,0.048333877289520565,0.030512478953194908,0.06156971713942674
pos_prop_ADV,0.09291186428549074,0.08570887097102844,0.07841406725835824,0.0797865039466985,0.05637544050020149
pos_prop_AUX,0.061086346910710375,0.06066052458831358,0.055905902776167235,0.06813432443232185,0.06546863920451299
pos_prop_ADJ,0.02937737519852703,0.03318817972062625,0.05646881408585318,0.05722388371156743,0.037577443111156905
pos_prop_SCONJ,0.020292644255083463,0.019069214312292027,0.019132348183371475,0.0355180080931206,0.03135204803421553
pos_prop_NUM,0.010600973871883891,0.010498544486717998,0.006464392160724862,0.007246376811594203,0.007287136677986916
pos_prop_PART,0.014424932469908969,0.013131655710195988,0.014114870299758272,0.017070008815741413,0.013011036639680775
n_stop_words,316.4,351.8,242.4,63.4,145.4
alpha_ratio,0.8524667054625539,0.8518060578578017,0.8644711724754005,0.864619622128824,0.8848149249465032
mean_word_length,4.844933035560106,4.858643179467253,5.039217394017757,4.876309285353373,5.011009398209095
doc_length,647.8,729.8,506.4,130.8,291.4
dependency_distance_mean,2.552426159939489,2.584134310980946,2.743676816036993,3.1850806784636374,3.1667444200542088
dependency_distance_std,0.8716736151002504,0.8757739687713327,0.8673616889409221,0.5965134225386657,0.7583329636645963
prop_adjacent_dependency_relation_mean,0.4205900139409063,0.422446433586445,0.43445421192534417,0.43368889185775716,0.4507326277740128
prop_adjacent_dependency_relation_std,0.10581679553423733,0.10489898315691563,0.09187030880834687,0.06208844335618905,0.07871293384477389
entropy,8.529121362393337,9.544315209693869,7.281477588398621,2.1201806695542493,4.458037647427906
perplexity,8453.752746357995,21790.564441944687,2619.833957151556,20.302188712279218,126.24239057874306
per_word_perplexity,11.744789356388694,28.10635734882079,4.285454426403502,0.10880460447653284,0.3961512314299306
first_order_coherence,0.4619111456523989,0.46074628687190194,0.5590982692561989,0.7337155481179555,0.6987655592945231
second_order_coherence,0.45297268344704333,0.4551459309887876,0.5328010771021017,0.7349777955223213,0.6823460175624965
connectives,25.6,26.6,19.4,5.2,8.4
pos_prop_X,0.0033652509652509653,0.004552080344332855,,,0.0033530681126542356
top_ngram_chr_fraction_2,0.016278714800331346,0.016232934021829355,0.017326567222069603,0.02465930653786441,0.026542769945092203
oov_ratio,0.018609056264512296,0.020020899064798585,0.014608865882896796,0.009295557139463055,0.016629060259499964
duplicate_ngram_chr_fraction_5,0.011306235950539818,0.02373769935279762,0.02051908279639529,,
top_ngram_chr_fraction_3,0.010031048483401002,0.014779532203626712,0.010506570228192102,,0.02356002566686885
top_ngram_chr_fraction_4,,0.012809564474807857,,,0.02344894968246214
duplicate_ngram_chr_fraction_6,0.009553379508000955,0.020891129469506987,0.030434782608695653,,
duplicate_ngram_chr_fraction_7,,0.019192144610577996,0.01956521739130435,,
