human,continue,explain,create
31,30,27,23
59,24,33,23
50,26,32,22
28,27,30,30
57,25,26,48
35,27,26,24
30,22,28,27
30,22,32,28
34,31,30,28
32,26,31,28
34,28,30,29
25,24,23,23
32,26,32,26
32,27,28,24
44,27,29,26
39,36,35,27
57,26,46,28
19,23,22,22
30,25,27,25
40,26,28,22
34,27,30,27
32,23,33,22
30,28,24,24
34,24,35,28
21,29,29,23
48,23,25,22
40,26,31,21
59,22,33,32
43,27,32,25
38,36,26,28
23,24,23,22
35,24,28,24
34,46,30,28
20,21,23,27
22,23,24.0,24
24,34,34,23
14.0,31,44,23
32,28,23,28
31,27,24,22
39,23,20,23
27,25,22,24
25,34,28,26
33,24,24,24
33,18,28,25
24,25,26,22
36,35,25,24
27,24,23,27
29,30,28,29
31,20,30,25
36,27,35,22
38,23,29,25
54,38,32,24
40,28,22,25
27,28,32,22
37,25,33,29
27,28,22,24
35,26,30.0,26
53,29,40,26
39,22,24,28
31,24,26,26
26,22,27,23
50,47,31,30
33,28,26,25
21,24,27.0,27
32,22,35,28
61,26,34,21
26,22,22,23
40,23,33,25
36,22,29,24
40,29,31,22
38,36,24,28
18,23,22,22
41,32,35,24
36,26,27.0,24
27,24,26.0,26
36,27,30,27
25,25,32,25
28,26,28,30
26,31,30,25
34,22,34,23
30,24,26,24
26,23,23,22
54,29,33,24
47,27,32,24
53,19,35,20
44,30,31,24
23,26,27,26
26,24,28,29
41,24,26,26
43,24,26,24
25,31,26,24
34,27,28,38
36,32,31,27
34,25,26,22
25,30,31.0,25
38,28,25,28
37,30,36.0,23
28,24,21,25
50,21,22,24
28,23,28,23
