human,continue,explain,create
32,43,32,33
20,30,31,29
45,35,37,28
20,29,28,33
45,38,32,37
32,33,28,24
31,33,31,36
25,34,34,30
34,28,30,30
21,39,28,27
21,37,26,37
22,40,31,26
22,31,34,31
41,34,28,32
35,37,28,31
32,32,34,32
22,35,35,25
27,30,28,28
21,32,24,27
21,42,30,25
28,31,27,35
17,33,30,23
20,33,29,30
22,34,32,25
30,30,33,31
24,29,31,29
19,34,31,30
22,37,27,31
32,33,29,26
32,41,33,35
22,42,28,36
24,35,32,27
32,28,32,26
34,41,27,36
27,41,27,31
24,34,33,32
40,31,34,28
17,31,29,30
36,31,32,27
28,34,26,27
13,37,26,29
19,33,32,31
25,29,31,26
23,34,30,30
23,36,25,31
22,30,29,26
26,35,32,32
25,33,35,28
28,40,35,32
30,34,29,29
26,32,30,24
15,31,25,29
27,37,37,38
18,34,35,38
37,37,34,30
19,37,28,34
35,32,29,26
28,31,27,27
14,35,30,28
31,26,33,35
21,27,26,30
33,38,34,36
19,26,31,24
27,41,31,34
24,37,32,29
34,32,33,31
22,39,30,31
30,34,30,34
16,30,29,25
30,34,26,33
26,38,31,32
19,29,28,31
26,32,28,29
22,39,25,34
29,35,29,29
34,38,29,44
22,38,37,26
31,42,32,27
17,33,28,29
28,39,31,23
37,38,29,28
24,32,34,29
16,32,33,27
24,30,27,30
23,30,26,30
31,36,30,33
27,50,27,32
24,29,31,29
29,32,31,25
31,32,34,33
29,37,37,34
23,38,30,25
25,40,35,33
24,38,28,36
49,36,27,29
21,38,32,28
19,32,32,29
21,31,31,27
37,37,32,30
37,37,26,35
33,28,33,30
37,31,28,23
24,30,30,30
26,41,28,28
18,24,22,32
40,36,29,32
40,35,34,34
33,40,37,35
52,40,38,43
87,34,29,37
44,34,30,39
57,41,37,36
27,43,36,40
52,42,39,42
68,52,26,43
45,42,39,40
43,37,30,43
25,34,25,39
30,39,37,46
90,54,36,49
35,36,31,38
33,33,38,38
32,38,31,36
43,37,31,38
29,34,33,36
39,39,32,37
43,47,31,43
53,44,39,36
45,40,38,47
33,38,36,33
38,30,30,37
43,40,31,36
34,39,32,36
37,36,30,38
60,31,40,42
57,45,41,42
41,30,30,51
38,38,34,37
38,41,37,39
47,36,34,36
61,42,33,43
40,34,38,36
34,39,37,36
31,32,29,40
40,38,35,34
55,39,35,38
65,42,29,40
52,37,36,47
48,42,30,39
38,44,31,41
62,36,41,41
40,38,31,45
57,32,30,48
